Age \ Année;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
31;445807;444756;447163;442543;455762;460019;449770;448386;434379;434784;437853;440775;451412;453292;443530;418255;396845;386335;397200;392417;403581;429305;426869;425927;404624;410242;416955;420659;414357;414023;412731;407219
32;438112;446884;445850;448259;443468;456755;461187;450833;449551;436514;437084;440009;443488;453698;456223;446237;421603;399246;387674;399479;395615;406816;432099;431136;429306;406664;413477;419774;423463;417174;419357;414610
33;440739;438836;447940;446673;448860;443854;457239;461851;451179;451513;438595;439187;441890;445934;455842;458645;447842;424627;401261;389788;401712;399124;410072;437281;433595;431352;409445;415863;422128;425827;421858;422255
34;439475;441491;439563;448829;447042;449156;444063;457586;462252;452853;453302;440630;441228;443731;448220;457304;460857;449748;426048;403312;392162;403653;402329;414479;440156;435557;434299;411979;418389;424654;430196;424846
35;439183;439851;442174;440144;449329;447211;449385;444323;457775;463554;454676;455114;442654;443285;445542;450089;460889;462520;451320;427243;404843;394475;404763;406542;417271;442538;439141;437112;414802;421184;430091;433518
36;439265;439736;440730;443111;440780;450021;447521;449916;444523;459461;464783;456396;456983;444646;445296;446642;452673;461948;464632;453271;428508;406592;396451;408564;408408;419865;444324;441166;439120;416829;425655;432731
37;432395;439613;439644;440673;442995;440419;449673;446842;449315;445933;461061;465893;458056;458830;446555;446764;449135;455513;464492;466248;454457;430312;409357;400753;410441;410746;422575;446598;443429;441409;421261;429648
38;440244;432544;440039;439739;440635;443003;440262;449715;446517;450235;447233;462565;467070;459740;460506;447876;448119;450592;456684;464880;467502;457211;431823;412324;402839;411482;411754;423771;447789;444590;443929;422259
39;433152;440641;433160;440748;439904;440708;443083;440169;449480;447767;451088;448408;463962;468135;461338;461713;448464;449965;451368;457623;466266;468731;458435;434372;413684;403599;412123;412550;424590;448557;446649;446168
40;449983;433071;440365;432989;440628;439407;440217;442734;439622;450428;448922;451876;449594;465418;469206;462466;462646;448872;450877;451889;458190;465501;469270;461703;435632;414346;404012;412877;413290;425335;451195;448788
41;444995;449385;432947;439984;432784;440442;439026;439837;442328;440562;451159;449926;452546;450628;466663;469575;463808;463254;449405;452161;452753;458964;466699;470242;461929;435831;415488;404472;413311;413726;425855;454529
42;443353;444390;448776;432653;439451;432348;440124;438523;439350;442800;441351;451744;450863;453101;451548;467487;470143;464168;462277;448503;451914;452872;457909;467538;470417;460940;435969;415134;404122;412954;414121;428339
43;436516;442465;443692;447910;432059;438571;431577;439512;437581;440006;443063;441968;452126;451561;453443;451998;467444;470315;463951;461641;448576;452606;453061;459081;467660;470126;460524;435684;414843;403860;414175;416336
44;417111;436269;441957;443297;447240;431608;437865;430986;438927;438169;440588;443218;442532;452477;452201;453412;452519;466473;471094;462734;461081;449108;452937;454335;459374;467109;469587;460164;435291;414578;404227;416260
45;318519;416108;435357;440898;442326;446171;430896;437029;430377;439077;438588;440906;443158;442977;452638;452508;454007;452056;466732;471095;462550;461168;449107;454167;454129;458858;466811;469080;459616;434834;415014;405621
46;314835;317731;415336;434509;439900;441378;445073;430167;436172;430864;439093;438825;441190;443041;443273;452478;452643;453502;452468;465441;471258;462235;460737;450353;453623;453971;457586;466003;468297;458834;435628;416810
47;307991;314855;317291;414817;433840;438965;440491;443940;429334;436851;431274;439026;439020;441356;442891;443315;451693;452325;453042;451812;464794;470242;461685;461847;451414;452396;453275;457115;465551;467783;459764;437459
48;287651;307261;314270;316393;413723;432801;437853;439552;442953;429380;437478;431564;438991;439113;441411;442436;443748;450957;450791;452918;451152;464980;469620;462970;461582;449873;450479;451865;455672;464142;466971;460104
49;260317;287561;307153;314239;315981;413161;432205;437059;438825;443391;429294;438067;431789;438755;439224;441318;442263;442911;449683;449930;451497;450596;464847;470422;462481;460880;447936;449363;450736;454621;464223;468826
50;275952;259984;286882;306429;313530;314909;411925;430900;435574;439137;443722;429178;438578;432009;438557;439114;441437;441771;442286;448151;449930;451429;449372;464846;468663;462751;459175;446803;448217;449572;455100;464850
51;296266;275040;259514;286052;305589;312828;313848;410750;429792;435969;439295;443927;428930;438836;431993;438038;437879;440993;440359;440793;447276;449374;450599;449186;463725;467029;460150;457319;444933;446380;449203;455819
52;294763;295579;274421;259182;285322;304827;312127;312754;409504;430230;436298;439409;444075;428583;439151;431902;437092;437691;439436;439661;439031;447729;448123;450433;447742;462826;466084;458952;456172;443790;446218;451330
53;296040;293903;294808;273762;258780;284634;304147;311570;311950;410012;430641;436641;439479;444168;428352;439472;430702;436485;437026;437931;438270;437611;446836;448575;448127;447040;460670;464270;457165;454330;443386;445885
54;301638;295153;292955;293858;272819;258116;283577;303050;310522;312256;410493;431079;436943;439479;444190;427965;438127;429804;435665;435809;436006;437787;436894;447198;448196;447123;444957;459390;462972;455939;454568;443800
55;301516;300261;293862;291771;292593;271625;257267;282369;301886;310487;312407;410759;431303;437070;439356;444056;427179;437645;428460;433705;434101;435097;436986;437617;446374;447057;445079;443527;457954;461505;455618;454420
56;311926;300438;299342;292994;290973;291875;270886;256912;281784;301950;310395;312552;410947;431426;437231;439123;444177;426133;436437;426113;432479;433061;434403;437548;436862;444914;444552;443406;441859;456383;461181;455825
57;308005;310895;299144;298062;291903;289823;290688;269784;256143;282078;301866;310191;312513;411012;431436;437167;437835;444221;425196;435538;424988;431998;431595;434489;436192;436844;442594;443189;441979;440637;455743;461836
58;321485;306480;309721;297826;296816;290834;288723;289700;268822;256002;282247;301683;309913;312444;411081;431336;436625;437262;443018;424204;434124;424256;431358;431516;433893;435113;435904;441567;442209;441038;441008;457392
59;320505;320193;305355;308828;296752;295731;289809;287599;288650;268868;255865;282297;301455;309561;312216;410928;430188;435020;435946;440743;422462;432710;423067;430899;431090;432961;432999;434661;440348;440968;441460;441542
60;326562;318801;318283;303520;307177;295049;294021;288276;286101;288357;268795;255505;282283;301091;309012;311804;408875;428903;433614;433082;438927;420647;430628;422365;429620;429895;431070;431435;433101;438821;440217;441861
61;311676;324960;317563;316911;302209;305952;293688;292767;287168;285774;287996;268617;255072;282100;300581;308369;310751;406877;424899;431626;430857;437064;419152;428783;421320;427678;428429;429495;429855;431486;437560;440227
62;312848;309816;322835;315701;315038;300450;304388;292092;291257;286650;285417;287467;268342;254482;281824;299928;306544;309862;403930;422169;428507;429324;434657;418512;426427;419425;425755;426203;427371;427710;429419;438632
63;306551;310665;307928;320550;313793;312915;298506;302733;290418;290894;285931;284870;286841;267842;253849;281357;298023;305416;307915;401964;419827;426051;428112;433734;416219;424510;416792;423423;423828;425002;425959;428337
64;308596;304571;308522;305945;318305;311800;310742;296371;300773;289951;290411;285076;284188;286025;267304;253034;279403;296698;303907;305998;400021;418044;424589;426382;431959;414601;422550;414953;421551;421955;424039;425274
65;307530;306084;302141;306050;303612;315778;309449;308414;294176;299811;289370;289645;284050;283313;285019;266630;251428;277540;294549;301188;304041;398565;416139;422603;424602;429565;411884;420223;412721;419167;420762;423564
66;299562;304731;303313;299545;303295;300904;312909;306943;305853;293233;298599;288534;288773;282809;282402;283805;264796;249628;276010;292192;298620;302567;396683;415641;419885;422096;425344;408656;416883;409584;416459;419195
67;298001;297086;301864;300481;296739;300322;298116;309718;304129;304691;291979;297157;287379;287581;281521;281151;281521;262527;247666;272939;290491;297611;300735;395516;413140;418357;419001;422851;406235;414522;408098;414925
68;297055;295135;294349;298704;297621;293883;297475;295414;306907;302401;303430;290524;295603;286133;286418;280002;278729;279863;260966;245877;270682;289041;295179;299167;391820;410662;415856;415902;419615;403062;412799;405947
69;303060;293635;291818;291142;295146;294211;290523;293953;292171;305022;300397;301962;288835;293714;284813;284915;276758;277010;277036;258589;244006;268207;286901;293015;297298;388888;406701;412509;412507;416115;400476;411004
70;303387;299217;289889;288068;287582;291452;290558;287124;290709;289768;302860;298154;300079;286852;291716;283270;281246;274089;274969;274847;256596;242046;266700;285169;290537;295115;385005;403063;409053;409011;412366;397539
71;182581;299139;295286;286020;284402;283960;287484;286825;283445;288258;287072;300429;295607;297875;284772;289299;279785;278846;270740;272047;271206;253841;239663;264029;282877;288538;292275;381723;399645;405651;404550;409427
72;158661;180113;294513;291060;281726;280226;279997;283268;282702;280583;285347;284041;297694;292544;295570;282378;285527;276481;275423;267602;268953;267447;251523;236999;261726;279933;284766;289107;377763;395417;401141;401042
73;138459;155684;177101;289269;286265;276984;275608;275810;278845;279187;277481;282153;280769;294515;289483;292944;278935;280841;272701;271202;264747;265595;264288;248621;234695;258945;276635;281701;286034;373675;391035;397926
74;128244;136089;152881;174256;283954;281199;271912;270752;271176;274817;275377;273835;278637;277007;291310;286173;288125;273944;277233;268791;267601;262089;261781;260994;245949;231870;256148;273410;278488;282822;368656;387506
75;156086;125345;133006;149276;170632;277553;275136;266127;264939;266528;270487;271012;269869;274534;273248;287578;281317;282928;270152;273265;264695;263483;258346;258281;256724;242657;228704;252489;269421;274365;278414;364389
76;227564;151927;121989;129594;145527;166616;270875;268949;260221;259840;261459;265665;266273;265179;270348;269014;282355;275550;277458;265237;268723;260446;258967;254903;254018;254277;238856;225555;249167;265820;270291;275188
77;221046;221014;147389;118458;125979;141506;162372;263520;262188;254318;254367;255829;260135;260905;260556;265590;263223;275872;269540;271767;259817;263239;255560;255361;250029;249810;250903;235046;221968;245327;261401;265873
78;215971;214042;214387;142688;114972;122141;137222;157887;255880;255083;248068;248402;249412;253944;255643;255162;259267;256850;269663;263703;265644;253647;258410;250723;250525;245435;244958;246111;230709;217897;240655;257145
79;193916;207900;206418;206718;137446;110767;117791;132358;152722;247921;247561;241188;241832;242205;247705;249462;248629;252012;250045;262231;256667;259940;247670;252563;244743;244900;239890;239433;240522;225603;212857;235708
80;192123;185438;199183;197712;198612;131899;106472;113288;127267;146895;239501;239292;233591;234284;235276;240644;241733;240216;243341;242531;254833;248861;252499;240511;245734;237826;239713;233803;233380;234771;219696;208705
81;178768;182918;176832;189786;188653;189839;125761;101707;108406;121960;140762;230304;230260;224904;226917;227185;232371;233238;231664;233933;233966;245542;240901;244435;233356;238080;231347;232848;227186;226815;228181;213969
