Age \ Année;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
31;443694;443703;444444;440074;452064;455683;447037;444104;429097;428916;433351;437895;447243;448764;437084;411865;390779;379882;389203;383883;392947;416135;410423;409636;386048;391365;394696;395806;390868;391686;390057;393946
32;434449;444309;444332;444247;439324;451228;455200;446266;443976;431182;431342;435477;440500;449373;450947;438540;415375;393317;381670;390724;386598;394801;418912;414697;411807;387000;392662;396110;397255;392288;396313;392338
33;436749;434915;445140;444028;443890;438646;450748;455256;446088;445815;433101;433675;437206;442735;450783;452098;441604;417426;395351;382768;392704;389195;396757;422508;416331;412805;388519;393984;397412;398561;396541;398872
34;435003;437283;435357;445033;443124;443094;437689;450178;454881;447056;447460;434902;435631;438600;444232;451345;455031;443265;419519;397394;385403;395513;391322;400410;423494;417318;414174;389662;395101;398500;402781;399404
35;434809;435452;437716;434920;444466;441833;442332;436970;449435;455521;447910;448680;436283;437115;439263;444751;454220;456454;444581;422570;398344;386783;397936;394799;401635;423480;420196;415510;390999;396432;402370;406312
36;436802;434809;435847;437428;434111;443609;440450;441627;436078;450082;455985;448699;449683;437506;438041;439327;445976;456248;458635;445387;424045;399551;388764;401993;395516;402614;425642;421432;416764;392284;400319;405575
37;431898;436653;434402;435027;436414;432625;442169;438622;440212;436559;450632;456448;449276;450436;438193;438082;442389;448579;458440;460675;448566;426827;401611;391532;403947;397844;404692;427661;423422;418774;396517;404680
38;442201;431486;436374;433501;434016;435398;431332;441012;436793;440584;437102;451146;456830;449909;451044;438570;439603;442649;449703;460336;462299;449658;427545;404467;392515;404401;398341;405222;428135;423924;421454;397886
39;436256;442109;431520;436103;432809;433197;434600;430098;439711;437520;441032;437642;451784;457185;450322;451186;439501;440589;443408;450719;460663;462937;450795;429801;405307;391925;403460;398082;404886;427805;425310;422638
40;457176;435329;440952;430388;434958;431127;431685;433192;428223;439394;438032;441254;437920;451996;457076;450153;451540;441211;441250;444195;451624;460633;464313;452643;428714;406231;393157;403852;398448;405284;429865;426081
41;452902;455890;434172;439371;429027;433710;429292;430110;431508;428061;438903;438317;441298;438056;451939;456500;452071;452305;441009;441267;444840;453084;461623;465006;452890;428623;407208;393565;404247;398834;407539;431745
42;455594;451500;454397;432748;437620;427436;432177;427432;428285;431185;427790;438283;438666;441369;438061;451709;457399;452763;450574;439476;440785;444233;452974;461877;463487;450451;427150;405422;391826;402575;399663;408933
43;449148;453993;449871;452466;431206;435626;425775;430676;425439;427638;430578;427287;437398;438717;441069;437689;451933;457267;453404;450831;439526;440434;444983;454935;461490;462215;449620;426358;404712;391152;402178;401779
44;427667;447777;452330;448224;450602;429577;433722;424144;429074;424668;426844;429879;426697;436441;438515;440660;437252;451390;457110;453011;450147;439319;440748;446336;454084;460460;461441;448738;425532;403928;391122;403916
45;327131;425556;445422;449970;445890;448024;427610;431489;422179;428126;423742;425889;429010;425998;435395;438005;440407;437303;451133;456305;452446;449715;437932;440963;445663;451335;460999;460427;447696;424573;405757;393835
46;321500;325387;423473;443080;447496;443524;445352;425584;429096;421122;427101;422670;424882;427938;425185;434264;437747;438797;436725;450629;454894;451383;448523;439499;440209;444787;449902;459867;459293;446674;426102;407431
47;315721;320480;324028;421746;441083;445353;441579;443060;423762;428400;419865;425771;421349;423711;426685;424036;433984;437335;437749;435837;449788;454308;450270;449056;439032;438525;443738;448649;458619;458045;446349;428702
48;296043;313972;318784;321969;419442;438513;442791;439218;440397;422509;427498;418407;424363;419960;422362;425069;423746;433533;435149;436618;434785;449733;453737;450450;448336;436805;436830;442102;446971;456949;457352;447358
49;266098;294748;312664;317470;320287;417282;436115;440186;436765;439320;421171;426418;416928;422778;418519;420780;424469;422099;432629;433700;434487;434784;449300;453658;449657;446930;435551;435641;440911;445768;455673;458933
50;280079;264728;292824;310806;315710;318001;414585;433196;437127;435339;438103;419672;425266;415294;421112;416676;420099;423368;420225;431378;432891;432791;433446;449299;452286;448464;444913;433978;434076;439368;444450;456873
51;294831;278253;263210;291004;308932;313998;315957;412144;430422;435958;433740;436693;417879;423750;413440;419026;414689;418349;420899;419738;430088;431526;432206;432333;447255;450433;445301;442513;431610;431757;437073;444241
52;292581;293075;276560;261882;289218;307154;312336;313876;409504;429233;434677;432028;435195;416060;422301;411526;418145;413617;416397;419431;418467;427560;430462;432433;430483;444223;447731;442728;439993;429154;429244;436905
53;290944;290514;291045;274629;260526;287316;305385;310745;311957;407991;427753;433119;430032;433342;414078;420288;410274;415966;412599;414140;417004;416896;425505;429845;430092;428292;441087;445157;440217;437583;427886;429360
54;295103;288788;288177;288687;272346;258828;284880;303015;308476;310727;406437;426171;431414;427966;431543;411915;417801;407674;414200;409451;412472;415633;416148;424807;427276;428444;425304;438621;442763;437857;436858;428095
55;291232;292413;286237;285463;286040;269868;256808;282344;300479;306605;309050;404457;424099;429323;425663;429183;409349;415047;405633;411383;407474;411138;413730;415481;421892;424066;425622;422505;435684;439911;436774;436569
56;298547;288404;289618;283589;282856;283462;267417;255098;280207;298620;304610;307434;402299;421772;427218;423040;426815;407105;413278;403083;409893;405376;409365;412433;412620;419543;420504;422822;419766;432906;438181;435783
57;291686;295411;285165;286381;280543;279702;280460;264495;252768;278589;296511;302312;305352;399625;419272;424369;421137;424552;404513;409727;400050;407089;403225;407920;409012;409613;417257;417766;420058;417223;430619;437808
58;301482;288347;292292;282031;283432;277721;276777;277834;262074;250713;277013;294483;300039;303307;397068;416248;421274;418048;421590;400929;406663;397206;404764;401064;404732;406051;406391;414240;414788;417146;415611;429915
59;296379;297934;284924;288972;278561;280061;274533;273569;274701;260092;248549;275179;292099;297440;301110;393933;412694;418285;413786;417360;396964;402762;393966;401578;398236;401132;402278;402925;410883;411659;413981;414713
60;299038;291949;293469;280662;285213;274520;276086;271106;270150;272111;257784;246020;272936;289422;294660;298504;390634;408569;414430;408938;412666;393444;400065;391724;397787;394608;396547;398448;399148;407015;407825;411806
61;282094;294595;287913;289234;276765;281460;270602;272421;267626;267234;269339;255237;243424;270604;286788;291645;295560;387591;403992;409521;404326;409230;389730;396887;387983;393898;390545;392663;394681;395560;403449;405833
62;278744;277386;289607;283288;284696;272394;277218;266280;268483;264585;264232;266299;252498;240540;268077;283815;287742;291815;382272;398733;404286;399024;404614;386947;392589;384326;388823;386146;388482;390560;390717;401023
63;268579;273503;272331;284273;278354;279563;267505;272741;261769;265052;261141;260972;263110;249445;237561;265166;280179;284296;287893;377438;393416;399951;394208;400453;382367;388055;379921;384295;381593;384101;386533;388250
64;265272;263850;268570;267309;278917;273344;274493;262703;268259;258015;261372;257549;257324;259564;246236;234263;261985;276979;280607;284004;373228;388364;393791;390294;395457;378394;383977;375606;380028;377452;379975;384240
65;258470;259572;258227;262793;261811;272618;267684;268733;257323;263880;254270;257525;253828;253530;256004;242638;230716;257760;272739;275812;280337;367626;384029;389349;386834;390617;373757;379778;371460;375899;372761;376468
66;246078;252970;253822;252727;257042;256098;266307;262211;263217;253141;259126;250117;253426;249774;249640;252001;237902;227272;253399;267952;271799;276479;362388;380040;384765;381752;384914;368667;374808;366489;369693;368130
67;242040;240254;247026;248006;247023;251024;250310;259940;256462;258422;248694;254320;245766;249131;245669;245399;248102;234910;223208;248875;263084;267623;272471;358067;375033;379868;376280;379700;363685;369758;360414;364529
68;236154;235785;234293;240739;241980;240876;244592;244329;253516;250997;253448;244104;249078;241274;244876;241267;240493;244223;231149;218815;244364;259471;263523;268619;352219;369428;373675;370221;373523;357936;362296;354669
69;237588;229892;229456;228042;234250;235369;234266;237823;237856;247914;245245;247976;239054;243438;236534;239874;236208;235937;239238;227024;214808;239507;254725;259493;263777;346077;363928;367507;363944;367412;351276;357503
70;236231;230439;223037;222596;221576;227317;228579;227678;231115;231872;241961;239450;242375;233752;238031;231404;234988;231203;231535;234055;222441;211153;235736;251093;255393;258510;339734;357394;361037;357423;360825;345600
71;138673;228657;223347;216269;216042;215090;220228;221655;220787;224555;225799;235836;233230;236374;228327;232218;226282;229634;225937;227112;229272;218216;207130;231282;246585;250311;252839;333148;350537;353971;350027;354825
72;116604;133946;220822;216012;209159;208990;207923;212671;214248;214099;217941;219240;229349;226678;230595;222267;226297;220850;223791;220679;222116;223728;212984;203668;226809;241481;245460;247868;326619;343786;346176;343943
73;98897;112090;128956;212511;208595;201732;201447;200664;205245;207137;207185;211131;212476;222565;220240;224150;215887;220919;214820;217865;215166;217219;218674;208001;198882;221399;235390;239727;241880;319209;334915;338851
74;88944;94974;107570;124133;204150;200672;194227;193990;193399;197753;199859;200091;203958;205300;215569;213256;217297;208757;214620;208780;211620;209546;212158;213544;203029;193972;216078;229798;233916;236133;310618;327715
